,Movie Name,Overall Review
0,Peninsula,Positive
1,Come Play,Positive
2,The Secret: Dare To Dream,Positive
3,The War with grandpa,Positive
4,Parasite,Positive
5,1917,Positive
6,The Outpost,Positive
7,Little Woman,Positive
8,Birds of  prey,Positive
9,Jojo Rabbit,Positive
10,The gentleman,Positive
11,A Beautiful Day in the neighbourhood,Positive
12,trolls world tour,Positive
13,The Witches,Positive
14,Never Steal A man's second chance,Positive
15,Greenland,Positive
16,Antebellum,Positive
17,A secret : Dare to dream,Positive
18,The Silencing,Positive
19,Relic,Positive
20,BloodShot,Positive
21,Sonic the Hedgehog,Positive
22,Bad Boys for life,Positive
23,The Lasr Full measure,Negative
24,Just Mercy,Positive
25,Dolittle,Positive
26,Bombshell,Positive
27,The Lost city,Positive
28,Life is  Beautiful,Positive
29,Good will Hunting,Positive
30,The Shawshank redemption,Positive
31,Angry men,Positive
32,angry men,Positive
33,The Dark Knight,Positive
34,The Matrix,Positive
35,Forest Gump,Positive
36,America Beauty,Positive
37,The Godfather,Positive
38,the Departed,Positive
39,The Prestige,Positive
40,Gladiator,Positive
41,Inglourious Basterds,Positive
42,Million Dollar baby,Positive
43,The Aviator,Positive
44,Avatar,Positive
45,Big Fish,Positive
46,Meet Joe Black,Positive
47,The Town,Positive
48,Schndler's List,Positive
49,Titanic,Positive
50,spy game,Positive
51,psycho,Positive
52,pay check,Positive
53,Mission impossible II,Positive
54,Pay it forward,Positive
55,Invictus,Positive
56,Se7ev,Positive
57,Saving private Ryan,Positive
58,Cast Away,Positive
59,the last summer,Positive
60,Munich,Positive
61,The longest yard,Positive
62,Bruce Almighty,Positive
63,Inception,Positive
64,Sir,Positive
65,Chhalaang,Positive
66,Suraj pe Mangal Bhari,Positive
67,Ludo,Positive
68,Laxmii,Positive
69,Khaali peeli,Positive
70,Sadak 2,Positive
71,Khuda Haafiz,Positive
72,Gunjan Saxena: The Kargil Girl,Positive
73,Lootcase,Positive
74,Raat Akeli hai,Positive
75,Shakuntala Devi,Positive
76,Dil Bechara,Positive
77,Virgin Bhanupriya,Positive
78,Gulabo sitabo,Positive
79,Angrezi Medium,Positive
80,Baaghi 3,Positive
81,Rizwan,Positive
82,Thappad,Positive
83,Bhoot,Positive
84,,Positive
85,,Positive
86,,Positive
87,,Positive
88,,Positive
89,,Positive
90,,Positive
91,,Positive
92,,Positive
93,,Positive
94,,Positive
95,,Positive
96,,Positive
97,,Positive
98,,Positive
99,,Positive
100,,Positive
101,,Positive
102,,Positive
103,,Positive
104,,Positive
105,,Positive
106,,Positive
107,,Positive
108,,Positive
109,,Positive
110,,Negative
111,,Negative
112,,Negative
113,,Negative
114,,Negative
115,,Negative
116,,Negative
117,,Positive
118,,Positive
119,,Negative
120,,Positive
121,,Positive
122,,Negative
123,,Positive
124,,Negative
125,,Positive
126,,Positive
127,,Negative
128,,Positive
129,,Positive
130,,Positive
131,,Positive
132,,Positive
133,,Negative
134,,Negative
135,,Negative
136,,Positive
137,,Positive
138,,Negative
139,,Negative
140,,Negative
141,,Negative
142,,Negative
143,,Negative
144,,Negative
145,,Negative
146,,Negative
147,,Negative
148,,Negative
149,,Negative
150,,Negative
151,,Negative
152,,Negative
153,,Negative
154,,Negative
155,,Negative
156,,Negative
157,,Negative
158,,Negative
159,,Negative
160,,Negative
161,,Negative
162,,Negative
163,,Negative
164,,Negative
165,,Negative
166,,Negative
167,,Negative
168,,Negative
169,,Negative
170,,Negative
171,,Negative
172,,Negative
173,,Negative
174,,Negative
175,,Negative
176,,Negative
177,,Negative
178,,Negative
179,,Negative
180,,Negative
181,,Negative
182,,Negative
183,,Negative
184,,Negative
185,,Negative
186,,Negative
187,,Negative
188,,Negative
189,,Negative
190,,Negative
191,,Negative
192,,Negative
193,,Negative
194,,Negative
195,,Negative
196,,Negative
197,,Negative
198,,Negative
199,,Negative
200,,Negative
201,,Negative
202,,Negative
203,,Negative
204,,Negative
205,,Negative
206,,Negative
207,,Negative
208,,Negative
209,,Negative
