Movie_name,Genre,reviews
Peninsula,Thriller,Very good movie for youths and teenagers. That whom loves adventure movies.
Peninsula,Thriller,Very good direction and very good acting too. Nice movie to watch in a weekend.
Peninsula,Thriller,"not as sequel, good for individual watch"
Peninsula,Thriller,very good movie to watch
Come Play,Mystery,"I did not like Babadook, but this one is actually different. One time watch movie"
Come Play,Mystery,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
Come Play,Mystery,Great Movie
Come Play,Mystery,One time watch
Come Play,Mystery,Good Screenplay and direction. Story plot goes along.
The Secret: Dare To Dream,Romance,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
The Secret: Dare To Dream,Romance,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
The Secret: Dare To Dream,Romance,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
The Secret: Dare To Dream,Romance,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
The Secret: Dare To Dream,Romance,"Good Movie, Worth Watching it."
The War with grandpa,Comedy,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
The War with grandpa,Comedy,Enjoyed the subject matter and the fine acting by the female actors
The War with grandpa,Comedy,Great movie suggest you to see in theater
The War with grandpa,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing
The War with grandpa,Comedy,Interesting movie new concept
Parasite,Crime,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
Parasite,Crime,"Perfectly showing the side of society, we ignore"
Parasite,Crime,One of the aweosme movie in long long time. Must watch for quality time spending
Parasite,Crime,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone"
Parasite,Crime,"The rollercoster of dark emotions
Perfect oscar deserving movie"
1917,Drama,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
1917,Drama,Very nice movie awesome thanks so much for the movie
1917,Drama,makes the film an absolute viewing delight.
1917,Drama,Tips to you on your site for me as the best for a long shot in to get to you by
The Outpost,Action,Good historical movie about war between humanity.
The Outpost,Action,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
The Outpost,Action,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
The Outpost,Action,The position of the outpost is brilliantly choose.
The Outpost,Action,Very good story plot. One of the best flims i've ever watched.
Little Woman,Romance ,Nice movie and drama movie review poster premiere
Little Woman,Romance ,they live in oblivion and their relationship grows and blossoms without being frowned upon.
Little Woman,Romance ,Super drama movie by women life.this movie going to rock.
Little Woman,Romance ,what a movie i like this movie thanks
Little Woman,Romance ,Excellent performance by the actors.
Birds of  prey,Crime,"It is just an ok movie , which shows lot of potential but slowly fades away since the directors seems not too sure what to do with other characters."
Birds of  prey,Crime,one of the best gangstaer movie of all time highly relatable to the joker movie nice acting with good dilogue delivery and nice plot.
Birds of  prey,Crime,"Super fun movie! Very violent (not for kiddies, sorry) but it was fun! Jokes were hilarious, some were in your face, others were subtle and easy to miss, very well done with showcasing Harley's trauma from her past in a subtle inobvious manner throughout the movie."
Birds of  prey,Crime,The movie is good to watch among with the animation creation and well presented
